EncuestaID,RangoEdad,Genero,Departamento,Municipio,Ocupacion
61,55 Años O Más,Femenino,Guatemala,Mixco,Estudiante
62,55 Años O Más,Masculino,Escuintla,Palín,Estudiante
63,18 - 24 Años,Femenino,Santa Rosa,Otro Municipio,Profesional Independiente
64,25 - 34 Años,Masculino,San Marcos,Otro Municipio,Profesional Independiente
65,Menos De 18 Años,Femenino,El Progreso,El Progreso,Jubilado
66,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Estudiante
67,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
68,Menos De 18 Años,Femenino,Escuintla,Escuintla,Ama De Casa
69,18 - 24 Años,Masculino,Guatemala,Mixco,Empresario
70,45 - 54 Años,Masculino,Guatemala,Villa Nueva,Estudiante
71,45 - 54 Años,Femenino,Escuintla,Escuintla,Profesional Independiente
72,45 - 54 Años,Femenino,Guatemala,Mixco,No Indicado
73,18 - 24 Años,Femenino,Guatemala,Villa Nueva,Estudiante
74,18 - 24 Años,Femenino,Guatemala,Guatemala,Empleado Público
75,25 - 34 Años,Masculino,Quetzaltenango,Olintepeque,Profesional Independiente
76,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
77,25 - 34 Años,Masculino,Retalhuleu,Otro Municipio,Empleado Privado
78,45 - 54 Años,Femenino,Guatemala,Santa Catarina Pinula,Jubilado
79,25 - 34 Años,Femenino,Guatemala,Mixco,Ama De Casa
80,25 - 34 Años,Masculino,Guatemala,Guatemala,Empleado Privado
81,25 - 34 Años,Masculino,Retalhuleu,Otro Municipio,Jubilado
82,45 - 54 Años,Masculino,Guatemala,Villa Nueva,Empleado Privado
83,25 - 34 Años,Femenino,Quetzaltenango,Coatepeque,Estudiante
84,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Ama De Casa
85,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
86,Menos De 18 Años,Femenino,Quetzaltenango,Olintepeque,Estudiante
87,55 Años O Más,Femenino,Chimaltenango,Tecpán Guatemala,Comerciante
88,35 - 44 Años,Masculino,Quetzaltenango,Coatepeque,Estudiante
89,Menos De 18 Años,Femenino,Guatemala,Guatemala,Empresario
90,55 Años O Más,Femenino,Guatemala,,Ama De Casa
91,18 - 24 Años,Femenino,Petén,Flores,Comerciante
92,18 - 24 Años,Femenino,Guatemala,Guatemala,Estudiante
93,45 - 54 Años,Masculino,Guatemala,Guatemala,Comerciante
94,35 - 44 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
95,25 - 34 Años,Masculino,Guatemala,Guatemala,Ama De Casa
96,45 - 54 Años,Masculino,Alta Verapaz,Cabecera Municipal,Empleado Público
97,25 - 34 Años,Masculino,El Progreso,El Progreso,Jubilado
98,35 - 44 Años,Femenino,Guatemala,Mixco,Estudiante
99,25 - 34 Años,Femenino,Totonicapán,Otro Municipio,Empleado Privado
100,55 Años O Más,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Empleado Privado
101,18 - 24 Años,Masculino,Escuintla,Escuintla,Empleado Privado
102,35 - 44 Años,Femenino,Escuintla,Palín,Empleado Privado
103,55 Años O Más,Femenino,Alta Verapaz,Otro Municipio,Empresario
104,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Estudiante
105,35 - 44 Años,Masculino,Guatemala,Villa Nueva,Ama De Casa
106,35 - 44 Años,Masculino,El Progreso,Otro Municipio,Empleado Público
107,35 - 44 Años,Femenino,Guatemala,Villa Nueva,Empleado Privado
108,18 - 24 Años,Femenino,Sacatepéquez,Ciudad Vieja,Empleado Privado
109,18 - 24 Años,Femenino,Guatemala,Villa Nueva,Empleado Privado
110,25 - 34 Años,Femenino,Escuintla,Escuintla,Estudiante
111,Menos De 18 Años,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Profesional Independiente
112,25 - 34 Años,Masculino,Alta Verapaz,Alta Verapaz,Estudiante
113,45 - 54 Años,Femenino,Sololá,Cabecera Municipal,Profesional Independiente
114,18 - 24 Años,Masculino,Izabal,Izabal,Empleado Privado
115,35 - 44 Años,Femenino,Guatemala,Mixco,Empleado Privado
116,18 - 24 Años,Femenino,El Progreso,El Progreso,Empleado Privado
117,25 - 34 Años,Femenino,Zacapa,Zacapa,Empleado Público
118,Menos De 18 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
119,18 - 24 Años,Femenino,Guate,Santa Catarina Pinula,Empleado Privado
120,18 - 24 Años,Masculino,Guatemala,Guatemala,Empleado Privado
121,18 - 24 Años,Femenino,Chiquimula,Chiquimula,Estudiante
122,25 - 34 Años,Masculino,Huehuetenango,Huehuetenango,Ama De Casa
123,25 - 34 Años,Femenino,Chimaltenango,Chimaltenango,Estudiante
124,Menos De 18 Años,Prefiero No Indicarlo,Sacatepéquez,Antigua Guatemala,Empleado Privado
125,45 - 54 Años,Masculino,Guatemala,Santa Catarina Pinula,Estudiante
126,25 - 34 Años,Masculino,Chimaltenango,Chimaltenango,Empleado Privado
127,25 - 34 Años,Masculino,Escuintla,Palín,Profesional Independiente
128,35 - 44 Años,Femenino,Guatemala,Guatemala,Ama De Casa
129,45 - 54 Años,Femenino,Petén,Poptún,Empleado Privado
130,18 - 24 Años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Comerciante
131,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
132,18 - 24 Años,Masculino,Retalhuleu,Retalhuleu,Otro
133,25 - 34 Años,Masculino,Sololá,Cabecera Municipal,Empleado Privado
134,18 - 24 Años,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Empleado Privado
135,35 - 44 Años,Prefiero No Indicarlo,Alta Verapaz,Otro Municipio,Profesional Independiente
136,18 - 24 Años,Masculino,Zacapa,Cabecera Municipal,Profesional Independiente
137,45 - 54 Años,Masculino,Quiché,Cabecera Municipal,Estudiante
138,45 - 54 Años,Masculino,Sacatepéquez,Sumpango,Estudiante
139,25 - 34 Años,Masculino,Guatemala,Guatemala,Estudiante
140,45 - 54 Años,Masculino,Guatemala,Guatemala,Empleado Privado
141,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Comerciante
142,45 - 54 Años,Masculino,Guatemala,Mixco,Empleado Privado
143,25 - 34 Años,Masculino,Guatemala,Mixco,Profesional Independiente
144,35 - 44 Años,Masculino,Quiché,Cabecera Municipal,Estudiante
145,25 - 34 Años,Masculino,Guatemala,Guatemala,Empleado Privado
146,25 - 34 Años,Femenino,Quetzaltenango,Quetzaltenango,Otro
147,55 Años O Más,Femenino,Guatemala,Villa Nueva,Estudiante
148,55 Años O Más,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Estudiante
149,35 - 44 Años,Masculino,Guatemala,Villa Nueva,Comerciante
150,55 Años O Más,Femenino,Sacatepéquez,Antigua Guatemala,Comerciante
151,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Empleado Privado
152,25 - 34 Años,Masculino,Guatemala,Mixco,Empresario
153,35 - 44 Años,Masculino,Quetzaltenango,Coatepeque,Empleado Privado
154,25 - 34 Años,Masculino,Chimaltenango,Chimaltenango,Empleado Privado
155,35 - 44 Años,Masculino,Guatemala,San Miguel Petapa,Empleado Privado
156,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
157,25 - 34 Años,Prefiero No Indicarlo,Escuintla,Palín,Otro
158,25 - 34 Años,Masculino,Suchitepéquez,Otro Municipio,Empleado Privado
159,35 - 44 Años,Femenino,Chimaltenango,Patzún,Estudiante
160,35 - 44 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
161,35 - 44 Años,Masculino,Huehuetenango,Cabecera Municipal,Estudiante
162,25 - 34 Años,Masculino,Guatemala,Mixco,Empleado Privado
163,Menos De 18 Años,Femenino,Guatemala,Guatemala,Profesional Independiente
164,Menos De 18 Años,Masculino,Quetzaltenango,Quetzaltenango,Estudiante
165,25 - 34 Años,Femenino,Guatemala,Guatemala,Estudiante
166,55 Años O Más,Masculino,Zacapa,Otro Municipio,Empleado Privado
167,18 - 24 Años,Femenino,Guatemala,Mixco,Empleado Privado
168,18 - 24 Años,Masculino,Chiquimula,Otro Municipio,Empleado Privado
169,18 - 24 Años,Femenino,Guatemala,Guatemala,Empleado Privado
170,35 - 44 Años,Masculino,Guatemala,Santa Catarina Pinula,Profesional Independiente
171,25 - 34 Años,Femenino,Alta Verapaz,Cabecera Municipal,Profesional Independiente
172,45 - 54 Años,Masculino,Guatemala,San Miguel Petapa,Estudiante
173,Menos De 18 Años,Femenino,Guatemala,Mixco,Empleado Privado
174,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Empresario
175,Menos De 18 Años,Masculino,San Marcos,Cabecera Municipal,Profesional Independiente
176,35 - 44 Años,Femenino,Guatemala,Guatemala,Empleado Privado
177,35 - 44 Años,Masculino,Petén,San Benito,Empleado Privado
178,45 - 54 Años,Femenino,Sacatepéquez,Antigua Guatemala,Comerciante
179,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Profesional Independiente
180,25 - 34 Años,Masculino,Guatemala,Guatemala,Empleado Privado
181,18 - 24 Años,Masculino,Guatemala,San Miguel Petapa,Profesional Independiente
182,35 - 44 Años,Femenino,Sacatepéquez,Jocotenango,Estudiante
183,18 - 24 Años,Masculino,Jalapa,Otro Municipio,Comerciante
184,25 - 34 Años,Femenino,Petén,San Benito,Estudiante
185,Menos De 18 Años,Prefiero No Indicarlo,Guatemala,Villa Nueva,Estudiante
186,45 - 54 Años,Femenino,Guatemala,Mixco,Empleado Privado
187,55 Años O Más,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Estudiante
188,25 - 34 Años,Masculino,Santa Rosa,Otro Municipio,Comerciante
189,18 - 24 Años,Femenino,Zacapa,Cabecera Municipal,Comerciante
190,45 - 54 Años,Femenino,Guatemala,Guatemala,Empleado Privado
191,18 - 24 Años,Masculino,Escuintla,Escuintla,Profesional Independiente
192,25 - 34 Años,Masculino,Guatemala,Guatemala,Empleado Privado
193,25 - 34 Años,Femenino,Baja Verapaz,Baja Verapaz,Comerciante
194,18 - 24 Años,Masculino,Petén,Poptún,Comerciante
195,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Estudiante
196,18 - 24 Años,Prefiero No Indicarlo,Escuintla,Escuintla,Empleado Privado
197,45 - 54 Años,Femenino,Sacatepéquez,Antigua Guatemala,Estudiante
198,45 - 54 Años,Masculino,Huehuetenango,Otro Municipio,Comerciante
199,45 - 54 Años,Masculino,Izabal,Cabecera Municipal,Empleado Privado
200,18 - 24 Años,Femenino,Escuintla,Escuintla,Empleado Privado
201,18 - 24 Años,Femenino,Guatemala,Guatemala,Profesional Independiente
202,25 - 34 Años,Femenino,Baja Verapaz,Cabecera Municipal,Ama De Casa
203,18 - 24 Años,Femenino,Sololá,Cabecera Municipal,Estudiante
204,35 - 44 Años,Masculino,Escuintla,Santa Lucía Cotzumalguapa,Empresario
205,Menos De 18 Años,Masculino,Guatemala,Guatemala,Estudiante
206,55 Años O Más,Femenino,Guatemala,Mixco,Empleado Privado
207,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
208,35 - 44 Años,Femenino,El Progreso,,Otro
209,25 - 34 Años,Femenino,Guatemala,Mixco,Ama De Casa
210,45 - 54 Años,Femenino,Guatemala,Mixco,Empleado Privado
211,55 Años O Más,Masculino,Baja Verapaz,Cabecera Municipal,Empresario
212,35 - 44 Años,Femenino,Guatemala,Santa Catarina Pinula,Estudiante
213,25 - 34 Años,Masculino,Guatemala,Guatemala,Empleado Privado
214,25 - 34 Años,Masculino,Guatemala,Guatemala,Estudiante
215,45 - 54 Años,Masculino,Escuintla,Escuintla,Estudiante
216,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Comerciante
217,45 - 54 Años,Femenino,Escuintla,Escuintla,Empleado Privado
218,45 - 54 Años,Masculino,Guatemala,Mixco,Estudiante
219,35 - 44 Años,Femenino,Chimaltenango,Chimaltenango,Empleado Privado
220,18 - 24 Años,Femenino,Alta Verapaz,Otro Municipio,Estudiante
221,18 - 24 Años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Empresario
222,55 Años O Más,Masculino,Guatemala,San Miguel Petapa,Estudiante
223,Menos De 18 Años,Femenino,Guatemala,Mixco,Empleado Privado
224,35 - 44 Años,Masculino,Chimaltenango,Tecpán Guatemala,Empresario
225,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Estudiante
226,35 - 44 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Público
227,35 - 44 Años,Masculino,Alta Verapaz,Cabecera Municipal,Otro
228,35 - 44 Años,Femenino,Chimaltenango,Chimaltenango,Empleado Público
229,45 - 54 Años,Femenino,Jalapa,Otro Municipio,Profesional Independiente
230,Menos De 18 Años,Masculino,Guatemala,Villa Nueva,Ama De Casa
231,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
232,Menos De 18 Años,Prefiero No Indicarlo,Escuintla,Santa Lucía Cotzumalguapa,Empleado Privado
233,18 - 24 Años,Masculino,Sacatepéquez,Ciudad Vieja,Estudiante
234,25 - 34 Años,Masculino,Chimaltenango,Patzún,Empleado Privado
235,25 - 34 Años,Prefiero No Indicarlo,Guatemala,San Miguel Petapa,Profesional Independiente
236,18 - 24 Años,Masculino,Guatemala,Guatemala,Comerciante
237,45 - 54 Años,Masculino,Guatemala,Mixco,Profesional Independiente
238,25 - 34 Años,Masculino,Guatemala,Guatemala,Ama De Casa
239,35 - 44 Años,Masculino,Guatemala,Villa Nueva,Profesional Independiente
240,18 - 24 Años,Femenino,Guatemala,Mixco,Comerciante
241,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
242,18 - 24 Años,Masculino,Guatemala,Villa Nueva,Empleado Público
243,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Estudiante
244,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
245,45 - 54 Años,Prefiero No Indicarlo,Quetzaltenango,Olintepeque,No Indicado
246,35 - 44 Años,Femenino,Guatemala,Santa Catarina Pinula,Comerciante
247,25 - 34 Años,Femenino,Huehuetenango,Cabecera Municipal,Empleado Público
248,25 - 34 Años,Femenino,Guatemala,Guatemala,Empleado Privado
249,45 - 54 Años,Masculino,Quetzaltenango,Olintepeque,Empleado Privado
250,45 - 54 Años,Masculino,Quetzaltenango,Olintepeque,Profesional Independiente
251,25 - 34 Años,Femenino,Guatemala,Guatemala,Estudiante
252,55 Años O Más,Femenino,Guatemala,Santa Catarina Pinula,Empresario
253,25 - 34 Años,Femenino,Chimaltenango,Tecpán Guatemala,Comerciante
254,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Comerciante
255,55 Años O Más,Masculino,Guatemala,San Miguel Petapa,Empleado Privado
256,45 - 54 Años,Masculino,Santa Rosa,Cabecera Municipal,Empleado Privado
257,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
258,45 - 54 Años,Femenino,Zacapa,Otro Municipio,Profesional Independiente
259,25 - 34 Años,Femenino,Guatemala,Mixco,Empleado Privado
260,45 - 54 Años,Masculino,Sacatepéquez,Jocotenango,Empleado Privado
261,55 Años O Más,Masculino,Chimaltenango,Tecpán Guatemala,Estudiante
262,35 - 44 Años,Masculino,Quetzaltenango,Coatepeque,Empleado Privado
263,35 - 44 Años,Masculino,Chimaltenango,Chimaltenango,Estudiante
264,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Jubilado
265,35 - 44 Años,Masculino,Huehuetenango,Otro Municipio,Profesional Independiente
266,45 - 54 Años,Masculino,Sololá,Cabecera Municipal,Empleado Público
267,35 - 44 Años,Masculino,Jutiapa,Jutiapa,Empleado Privado
268,25 - 34 Años,Femenino,Guatemala,Mixco,Empleado Privado
269,25 - 34 Años,Masculino,Guatemala,Guatemala,Ama De Casa
270,18 - 24 Años,Femenino,Huehuetenango,Otro Municipio,Empleado Público
271,35 - 44 Años,Femenino,Guatemala,San Miguel Petapa,Jubilado
272,25 - 34 Años,Femenino,Guatemala,Guatemala,Empleado Privado
273,55 Años O Más,Femenino,Baja Verapaz,Baja Verapaz,Empresario
274,45 - 54 Años,Femenino,Escuintla,Escuintla,Profesional Independiente
275,55 Años O Más,Femenino,Guatemala,Santa Catarina Pinula,Jubilado
276,18 - 24 Años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Empleado Privado
277,35 - 44 Años,Masculino,Guatemala,San Miguel Petapa,Empleado Privado
278,18 - 24 Años,Femenino,Guatemala,Mixco,Estudiante
279,Menos De 18 Años,Femenino,El Progreso,El Progreso,Empresario
280,35 - 44 Años,Masculino,Santa Rosa,Otro Municipio,Estudiante
281,45 - 54 Años,Masculino,Guatemala,Santa Catarina Pinula,Otro
282,18 - 24 Años,Femenino,Huehuetenango,Cabecera Municipal,Empleado Privado
283,Menos De 18 Años,Masculino,Guatemala,Mixco,Otro
284,45 - 54 Años,Femenino,Guatemala,Guatemala,Empleado Privado
285,Menos De 18 Años,Femenino,Sololá,Otro Municipio,Comerciante
286,Menos De 18 Años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Empresario
287,Menos De 18 Años,Masculino,Escuintla,Escuintla,Estudiante
288,18 - 24 Años,Masculino,Guatemala,Guatemala,Jubilado
289,35 - 44 Años,Masculino,Quetzaltenango,Coatepeque,Ama De Casa
290,Menos De 18 Años,Masculino,Guatemala,San Miguel Petapa,Ama De Casa
291,35 - 44 Años,Masculino,Baja Verapaz,Cabecera Municipal,Empresario
1595,55 Años O Más,Femenino,Guatemala,Villa Nueva,Empleado Privado
293,35 - 44 Años,Masculino,Guatemala,Villa Nueva,Estudiante
294,35 - 44 Años,Prefiero No Indicarlo,Guatemala,Villa Nueva,Comerciante
295,Menos De 18 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Público
296,35 - 44 Años,Femenino,Quetzaltenango,Coatepeque,Empleado Público
297,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Ama De Casa
298,18 - 24 Años,Masculino,El Progreso,Otro Municipio,Empleado Privado
299,25 - 34 Años,Masculino,Guatemala,Guatemala,Empleado Privado
300,55 Años O Más,Masculino,Guatemala,San Miguel Petapa,Ama De Casa
301,45 - 54 Años,Femenino,Chiquimula,Chiquimula,Profesional Independiente
302,45 - 54 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
303,25 - 34 Años,Femenino,Guatemala,Villa Nueva,Empleado Privado
304,45 - 54 Años,Prefiero No Indicarlo,Guatemala,Guatemala,Empleado Privado
305,18 - 24 Años,Masculino,Guatemala,Santa Catarina Pinula,Empleado Público
306,18 - 24 Años,Femenino,Chiquimula,Otro Municipio,Empleado Público
307,35 - 44 Años,Masculino,Quetzaltenango,Quetzaltenango,Empleado Privado
308,Menos De 18 Años,Masculino,Guatemala,San Miguel Petapa,Jubilado
309,18 - 24 Años,Femenino,Quetzaltenango,Olintepeque,Empleado Privado
310,55 Años O Más,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
311,Menos De 18 Años,Femenino,Baja Verapaz,Baja Verapaz,Empleado Privado
312,Menos De 18 Años,Femenino,Guatemala,Guatemala,Comerciante
313,18 - 24 Años,Femenino,Quiché,Cabecera Municipal,Empleado Privado
314,25 - 34 Años,Masculino,Jalapa,Cabecera Municipal,Ama De Casa
315,35 - 44 Años,Femenino,Guatemala,Santa Catarina Pinula,Comerciante
316,45 - 54 Años,Masculino,Guatemala,Guatemala,Empleado Público
317,25 - 34 Años,Masculino,Baja Verapaz,Baja Verapaz,Ama De Casa
318,18 - 24 Años,Femenino,Quetzaltenango,Quetzaltenango,Empleado Privado
319,25 - 34 Años,Femenino,Guatemala,Mixco,Empleado Privado
320,25 - 34 Años,Masculino,Totonicapán,Otro Municipio,Ama De Casa
321,25 - 34 Años,Masculino,Suchitepéquez,Cabecera Municipal,Empleado Privado
322,Menos De 18 Años,Masculino,Guatemala,Villa Nueva,Empleado Público
323,35 - 44 Años,Femenino,Guatemala,Villa Nueva,Comerciante
324,45 - 54 Años,Femenino,Chimaltenango,Chimaltenango,No Indicado
325,25 - 34 Años,Masculino,San Marcos,Otro Municipio,Jubilado
326,25 - 34 Años,Masculino,Baja Verapaz,Cabecera Municipal,Profesional Independiente
327,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Empleado Privado
328,Menos De 18 Años,Masculino,Chimaltenango,Tecpán Guatemala,Estudiante
329,35 - 44 Años,Masculino,Petén,Poptún,Empleado Privado
330,45 - 54 Años,Femenino,Guatemala,Villa Nueva,Empresario
331,35 - 44 Años,Masculino,Quetzaltenango,Coatepeque,Ama De Casa
332,25 - 34 Años,Femenino,Chimaltenango,Chimaltenango,Profesional Independiente
333,18 - 24 Años,Masculino,Guatemala,Mixco,Empleado Público
334,45 - 54 Años,Femenino,Guatemala,Guatemala,Comerciante
335,35 - 44 Años,Masculino,Petén,Flores,Empleado Privado
336,Menos De 18 Años,Femenino,Totonicapán,Totonicapán,Profesional Independiente
337,55 Años O Más,Masculino,Escuintla,,Empleado Público
338,25 - 34 Años,Femenino,Alta Verapaz,Otro Municipio,Empresario
339,25 - 34 Años,Masculino,Jalapa,Jalapa,Comerciante
340,25 - 34 Años,Masculino,Chimaltenango,Patzún,Empleado Público
341,25 - 34 Años,Masculino,Baja Verapaz,,Empleado Privado
342,35 - 44 Años,Masculino,Sololá,Cabecera Municipal,Profesional Independiente
343,45 - 54 Años,Masculino,Santa Rosa,Santa Rosa,Empleado Privado
344,25 - 34 Años,Femenino,Sacatepéquez,Antigua Guatemala,Profesional Independiente
345,18 - 24 Años,Femenino,Guatemala,Guatemala,Comerciante
346,45 - 54 Años,Femenino,Sololá,Cabecera Municipal,Profesional Independiente
347,18 - 24 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado
348,18 - 24 Años,Masculino,Guatemala,Mixco,Empleado Privado
1960,18 - 24 Años,Femenino,Guatemala,Villa Nueva,Empleado Privado
350,35 - 44 Años,Femenino,Santa Rosa,Cabecera Municipal,Empleado Privado
351,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
352,25 - 34 Años,Masculino,Guatemala,Mixco,Empleado Privado
353,18 - 24 Años,Masculino,San Marcos,Otro Municipio,Profesional Independiente
354,18 - 24 Años,Femenino,Escuintla,Palín,Ama De Casa
355,35 - 44 Años,Masculino,Guatemala,Guatemala,Otro
356,25 - 34 Años,Masculino,Sacatepéquez,Jocotenango,Estudiante
357,18 - 24 Años,Femenino,Sacatepéquez,Antigua Guatemala,Empleado Privado
358,25 - 34 Años,Femenino,Izabal,Izabal,Estudiante
359,25 - 34 Años,Femenino,Guatemala,Villa Nueva,Otro
360,55 Años O Más,Prefiero No Indicarlo,Sacatepéquez,Ciudad Vieja,Estudiante
361,45 - 54 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Público
362,Menos De 18 Años,Masculino,Escuintla,Escuintla,Ama De Casa
363,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado
