EncuestaID,SaborPreferido,PresentacionPreferida
165,Dulce,Familiar
166,Picante Chapín,Tamaño Fiesta O Reunión
167,Dulce,Individual
168,Barbacoa,Individual
169,Limón,Individual
170,Queso,Individual
171,Picante Chapín,Para Compartir Entre 2 Personas
172,Salado Tradicional,Para Compartir Entre 2 Personas
173,Jalapeño,Individual
174,Caramelo,Individual
175,Jalapeño,Para Compartir Entre 2 Personas
176,Picante Chapín,Para Compartir Entre 2 Personas
177,Jalapeño,Familiar
178,Barbacoa,Para Compartir Entre 2 Personas
179,Barbacoa,Individual
180,Dulce,Para Compartir Entre 2 Personas
181,Barbacoa,Familiar
182,Picante Chapín,Para Compartir Entre 2 Personas
183,Barbacoa,Familiar
184,Queso,Familiar
185,Limón,Familiar
186,Picante Chapín,Para Compartir Entre 2 Personas
187,Jalapeño,Familiar
188,Caramelo,Individual
189,Barbacoa,Tamaño Fiesta O Reunión
190,Queso,Tamaño Fiesta O Reunión
191,Salado Tradicional,Familiar
192,Caramelo,Para Compartir Entre 2 Personas
193,Barbacoa,Tamaño Fiesta O Reunión
194,Barbacoa,Familiar
195,Limón,Familiar
196,Chocolate,Familiar
197,Chocolate,Familiar
198,Limón,Tamaño Fiesta O Reunión
199,Queso,Para Compartir Entre 2 Personas
200,Barbacoa,Familiar
201,Barbacoa,Individual
202,Queso,Para Compartir Entre 2 Personas
203,Queso,Familiar
204,Limón,Individual
205,Jalapeño,Para Compartir Entre 2 Personas
206,Queso,Familiar
207,Chocolate,Familiar
208,Barbacoa,Para Compartir Entre 2 Personas
209,Barbacoa,Para Compartir Entre 2 Personas
210,Queso,Para Compartir Entre 2 Personas
211,Queso,Individual
212,Chocolate,Individual
213,Jalapeño,Para Compartir Entre 2 Personas
214,Limón,Familiar
215,Salado Tradicional,Familiar
216,Limón,Individual
217,Jalapeño,Para Compartir Entre 2 Personas
218,Barbacoa,Para Compartir Entre 2 Personas
219,Limón,Para Compartir Entre 2 Personas
220,Queso,Familiar
221,Limón,Familiar
222,Picante Chapín,Familiar
223,Barbacoa,Individual
224,Picante Chapín,Tamaño Fiesta O Reunión
225,Picante Chapín,Individual
226,Salado Tradicional,Individual
227,Salado Tradicional,Familiar
228,Jalapeño,Tamaño Fiesta O Reunión
229,Barbacoa,Tamaño Fiesta O Reunión
230,Chocolate,Tamaño Fiesta O Reunión
231,Picante Chapín,Individual
232,Limón,Familiar
233,Queso,Para Compartir Entre 2 Personas
234,Jalapeño,Familiar
235,Limón,Tamaño Fiesta O Reunión
236,Picante Chapín,Familiar
237,Dulce,Individual
238,Jalapeño,Individual
239,Picante Chapín,Familiar
240,Queso,Individual
241,Salado Tradicional,Familiar
242,Queso,Familiar
243,Picante Chapín,Familiar
244,Jalapeño,Para Compartir Entre 2 Personas
245,Limón,Para Compartir Entre 2 Personas
246,Jalapeño,Familiar
247,Barbacoa,Familiar
248,Jalapeño,Para Compartir Entre 2 Personas
249,Chocolate,Para Compartir Entre 2 Personas
250,Limón,Familiar
251,Picante Chapín,Individual
252,Dulce,Tamaño Fiesta O Reunión
253,Jalapeño,Familiar
254,Caramelo,Individual
255,Queso,Tamaño Fiesta O Reunión
256,Queso,Individual
257,Limón,Para Compartir Entre 2 Personas
258,Queso,Familiar
259,Limón,Individual
260,Barbacoa,Familiar
261,Chocolate,Individual
262,Chocolate,Para Compartir Entre 2 Personas
263,Limón,Para Compartir Entre 2 Personas
264,Chocolate,Tamaño Fiesta O Reunión
265,Chocolate,Familiar
266,Limón,Tamaño Fiesta O Reunión
267,Dulce,Familiar
268,Chocolate,Para Compartir Entre 2 Personas
269,Barbacoa,Para Compartir Entre 2 Personas
270,Picante Chapín,Tamaño Fiesta O Reunión
271,Queso,Tamaño Fiesta O Reunión
272,Salado Tradicional,Familiar
273,Chocolate,Para Compartir Entre 2 Personas
274,Queso,Para Compartir Entre 2 Personas
275,Barbacoa,Familiar
276,Picante Chapín,Individual
277,Barbacoa,Para Compartir Entre 2 Personas
278,Queso,Para Compartir Entre 2 Personas
279,Salado Tradicional,Individual
280,Dulce,Para Compartir Entre 2 Personas
281,Picante Chapín,Tamaño Fiesta O Reunión
282,Queso,Tamaño Fiesta O Reunión
283,Caramelo,Para Compartir Entre 2 Personas
284,Barbacoa,Familiar
285,No Indicado,Individual
286,Chocolate,Para Compartir Entre 2 Personas
287,Salado Tradicional,Para Compartir Entre 2 Personas
288,Jalapeño,Individual
289,Chocolate,Familiar
290,Chocolate,Individual
291,No Indicado,Familiar
1595,Barbacoa,Familiar
293,Chocolate,Familiar
294,Dulce,Individual
295,Barbacoa,Para Compartir Entre 2 Personas
296,Dulce,Familiar
297,Picante Chapín,Para Compartir Entre 2 Personas
298,Picante Chapín,Tamaño Fiesta O Reunión
299,Jalapeño,Tamaño Fiesta O Reunión
300,Limón,Individual
301,Barbacoa,Individual
302,Dulce,Para Compartir Entre 2 Personas
303,Queso,Individual
304,Jalapeño,Individual
305,Limón,Individual
306,Picante Chapín,Para Compartir Entre 2 Personas
307,Picante Chapín,Familiar
308,Picante Chapín,Para Compartir Entre 2 Personas
309,Dulce,Familiar
310,Dulce,Individual
311,Queso,Tamaño Fiesta O Reunión
312,Barbacoa,Individual
313,Barbacoa,Para Compartir Entre 2 Personas
314,Picante Chapín,Familiar
315,Picante Chapín,Tamaño Fiesta O Reunión
316,Picante Chapín,Para Compartir Entre 2 Personas
317,Salado Tradicional,Para Compartir Entre 2 Personas
318,Queso,Para Compartir Entre 2 Personas
319,Chocolate,Individual
320,Barbacoa,Familiar
321,Limón,Para Compartir Entre 2 Personas
322,Picante Chapín,Tamaño Fiesta O Reunión
323,Salado Tradicional,Para Compartir Entre 2 Personas
324,Salado Tradicional,Individual
325,Jalapeño,Para Compartir Entre 2 Personas
326,Queso,Para Compartir Entre 2 Personas
327,Caramelo,Tamaño Fiesta O Reunión
328,Queso,Para Compartir Entre 2 Personas
329,Picante Chapín,Familiar
330,Jalapeño,Para Compartir Entre 2 Personas
331,Salado Tradicional,Tamaño Fiesta O Reunión
332,Barbacoa,Individual
333,Jalapeño,Tamaño Fiesta O Reunión
334,Dulce,Familiar
335,Queso,Para Compartir Entre 2 Personas
336,Barbacoa,Individual
337,Picante Chapín,Para Compartir Entre 2 Personas
338,Queso,Familiar
339,Jalapeño,Familiar
340,Barbacoa,Tamaño Fiesta O Reunión
341,Picante Chapín,Individual
342,Picante Chapín,Individual
343,Jalapeño,Familiar
344,Dulce,Familiar
345,Jalapeño,Para Compartir Entre 2 Personas
346,Barbacoa,Individual
347,Picante Chapín,Individual
348,Queso,Para Compartir Entre 2 Personas
1960,Jalapeño,Tamaño Fiesta O Reunión
350,Barbacoa,Familiar
351,Limón,Familiar
352,Limón,Familiar
353,Jalapeño,Para Compartir Entre 2 Personas
354,Barbacoa,Para Compartir Entre 2 Personas
355,Limón,Tamaño Fiesta O Reunión
356,Chocolate,Tamaño Fiesta O Reunión
357,Queso,Para Compartir Entre 2 Personas
358,Jalapeño,Individual
359,Queso,Familiar
360,Dulce,Para Compartir Entre 2 Personas
361,Queso,Para Compartir Entre 2 Personas
362,Picante Chapín,Individual
363,Salado Tradicional,Familiar
364,Jalapeño,Individual
365,Salado Tradicional,Tamaño Fiesta O Reunión
366,Queso,Familiar
367,Jalapeño,Tamaño Fiesta O Reunión
368,Picante Chapín,Para Compartir Entre 2 Personas
369,Barbacoa,Familiar
370,Jalapeño,Individual
371,Barbacoa,Familiar
372,Picante Chapín,Tamaño Fiesta O Reunión
373,Dulce,Individual
374,Picante Chapín,Individual
375,Barbacoa,Familiar
376,Salado Tradicional,Familiar
377,Limón,Individual
378,Barbacoa,Para Compartir Entre 2 Personas
379,Picante Chapín,Para Compartir Entre 2 Personas
380,Barbacoa,Tamaño Fiesta O Reunión
381,Jalapeño,Familiar
382,Chocolate,Familiar
383,Barbacoa,Para Compartir Entre 2 Personas
384,Picante Chapín,Individual
385,Picante Chapín,Familiar
386,Chocolate,Individual
387,Barbacoa,Individual
388,Limón,Individual
389,Picante Chapín,Individual
390,Picante Chapín,Para Compartir Entre 2 Personas
391,Caramelo,Individual
392,Chocolate,Para Compartir Entre 2 Personas
393,Picante Chapín,Individual
394,Limón,Individual
395,Caramelo,Familiar
396,Caramelo,Familiar
397,Queso,Individual
398,Picante Chapín,Para Compartir Entre 2 Personas
399,Barbacoa,Para Compartir Entre 2 Personas
400,Barbacoa,Para Compartir Entre 2 Personas
401,Salado Tradicional,Familiar
402,Queso,Familiar
403,Salado Tradicional,Tamaño Fiesta O Reunión
404,Jalapeño,Para Compartir Entre 2 Personas
405,Barbacoa,Para Compartir Entre 2 Personas
406,Jalapeño,Para Compartir Entre 2 Personas
407,Dulce,Familiar
408,Queso,Para Compartir Entre 2 Personas
409,Picante Chapín,Tamaño Fiesta O Reunión
410,Jalapeño,Individual
411,Jalapeño,Para Compartir Entre 2 Personas
412,Chocolate,Familiar
413,Barbacoa,Individual
414,Barbacoa,Individual
415,Barbacoa,Para Compartir Entre 2 Personas
416,Queso,Tamaño Fiesta O Reunión
417,Picante Chapín,Individual
418,Jalapeño,Individual
97,Picante Chapín,Tamaño Fiesta O Reunión
420,Jalapeño,Para Compartir Entre 2 Personas
421,Barbacoa,Individual
422,Salado Tradicional,Para Compartir Entre 2 Personas
423,Queso,Individual
424,Chocolate,Familiar
425,Picante Chapín,Familiar
426,Queso,Familiar
427,Picante Chapín,Para Compartir Entre 2 Personas
428,Salado Tradicional,Individual
429,Barbacoa,Individual
430,Caramelo,Para Compartir Entre 2 Personas
431,Jalapeño,Tamaño Fiesta O Reunión
432,Jalapeño,Familiar
433,Queso,Para Compartir Entre 2 Personas
434,Picante Chapín,Para Compartir Entre 2 Personas
435,Picante Chapín,Familiar
436,Dulce,Familiar
437,Queso,Familiar
438,Jalapeño,Familiar
439,Dulce,Familiar
440,Jalapeño,Individual
441,Limón,Tamaño Fiesta O Reunión
442,Jalapeño,Familiar
443,Barbacoa,Familiar
444,Barbacoa,Para Compartir Entre 2 Personas
445,Barbacoa,Tamaño Fiesta O Reunión
446,Dulce,Familiar
447,Dulce,Individual
448,Jalapeño,Para Compartir Entre 2 Personas
449,Queso,Para Compartir Entre 2 Personas
1193,Jalapeño,Individual
451,Chocolate,Tamaño Fiesta O Reunión
452,Salado Tradicional,Familiar
453,Caramelo,Individual
454,Queso,Familiar
455,Limón,Individual
456,Queso,Para Compartir Entre 2 Personas
457,Queso,Para Compartir Entre 2 Personas
458,Salado Tradicional,Familiar
459,Chocolate,Familiar
460,Picante Chapín,Para Compartir Entre 2 Personas
461,Barbacoa,Para Compartir Entre 2 Personas
462,Queso,Individual
463,Chocolate,Familiar
1049,Picante Chapín,Tamaño Fiesta O Reunión
465,Queso,Tamaño Fiesta O Reunión
466,Picante Chapín,Para Compartir Entre 2 Personas
467,Salado Tradicional,Individual
468,Barbacoa,Familiar
469,Barbacoa,Individual
470,Picante Chapín,Para Compartir Entre 2 Personas
471,Queso,Individual
472,Jalapeño,Familiar
473,Jalapeño,Familiar
2439,Dulce,Familiar
475,Chocolate,Tamaño Fiesta O Reunión
476,Queso,Tamaño Fiesta O Reunión
477,Salado Tradicional,Individual
478,Salado Tradicional,Familiar
479,Picante Chapín,Familiar
480,Limón,Individual
481,Jalapeño,Individual
482,Queso,Familiar
483,Salado Tradicional,Para Compartir Entre 2 Personas
484,Chocolate,Tamaño Fiesta O Reunión
485,Limón,Individual
486,Limón,Individual
487,Dulce,Para Compartir Entre 2 Personas
488,Picante Chapín,Familiar
489,Chocolate,Tamaño Fiesta O Reunión
490,Queso,Familiar
491,Chocolate,Individual
492,Picante Chapín,Familiar
493,Chocolate,Individual
494,Salado Tradicional,Individual
495,Barbacoa,Para Compartir Entre 2 Personas
496,Queso,Familiar
497,Picante Chapín,Familiar
498,Chocolate,Tamaño Fiesta O Reunión
499,Dulce,Familiar
500,No Indicado,Tamaño Fiesta O Reunión
501,Queso,Familiar
502,Salado Tradicional,Tamaño Fiesta O Reunión
503,Queso,Tamaño Fiesta O Reunión
504,Picante Chapín,Familiar
505,Picante Chapín,Para Compartir Entre 2 Personas
506,Barbacoa,Familiar
507,Barbacoa,Para Compartir Entre 2 Personas
508,Jalapeño,Familiar
509,Barbacoa,Tamaño Fiesta O Reunión
510,Salado Tradicional,Individual
511,Salado Tradicional,Individual
512,Chocolate,Individual
513,Limón,Tamaño Fiesta O Reunión
514,No Indicado,Para Compartir Entre 2 Personas
515,Queso,Para Compartir Entre 2 Personas
516,Caramelo,Tamaño Fiesta O Reunión
517,Salado Tradicional,Para Compartir Entre 2 Personas
518,Queso,Tamaño Fiesta O Reunión
519,Queso,Individual
520,Limón,Para Compartir Entre 2 Personas
521,Jalapeño,Para Compartir Entre 2 Personas
522,Queso,Familiar
523,Barbacoa,Familiar
524,Queso,Para Compartir Entre 2 Personas
525,Salado Tradicional,Individual
526,Limón,Familiar
527,Picante Chapín,Individual
528,Caramelo,Familiar
529,Limón,Familiar
530,Chocolate,Individual
531,Queso,Familiar
532,Barbacoa,Tamaño Fiesta O Reunión
533,Queso,Individual
534,Picante Chapín,Familiar
535,Salado Tradicional,Individual
536,Caramelo,Familiar
537,Limón,Para Compartir Entre 2 Personas
538,Chocolate,Familiar
539,Dulce,Tamaño Fiesta O Reunión
540,Chocolate,Tamaño Fiesta O Reunión
541,Picante Chapín,Familiar
542,Barbacoa,Familiar
543,Dulce,Individual
544,Limón,Para Compartir Entre 2 Personas
545,Barbacoa,Familiar
546,Chocolate,Familiar
547,Barbacoa,Individual
548,Jalapeño,Para Compartir Entre 2 Personas
549,Barbacoa,Individual
550,Jalapeño,Para Compartir Entre 2 Personas
551,Picante Chapín,Familiar
552,Jalapeño,Familiar
553,Chocolate,Familiar
554,Barbacoa,Familiar
555,Queso,Familiar
556,Salado Tradicional,Individual
557,Barbacoa,Para Compartir Entre 2 Personas
558,Queso,Para Compartir Entre 2 Personas
559,Queso,Para Compartir Entre 2 Personas
560,Chocolate,Familiar
561,Queso,Familiar
562,Picante Chapín,Individual
563,Limón,Tamaño Fiesta O Reunión
564,Barbacoa,Para Compartir Entre 2 Personas
565,Queso,Individual
566,Caramelo,Individual
567,Salado Tradicional,Para Compartir Entre 2 Personas
568,Barbacoa,Individual
569,Picante Chapín,Familiar
570,Queso,Tamaño Fiesta O Reunión
571,Barbacoa,Para Compartir Entre 2 Personas
572,Chocolate,Para Compartir Entre 2 Personas
573,Queso,Familiar
574,Queso,Familiar
575,Picante Chapín,Familiar
576,Barbacoa,Familiar
577,Chocolate,Individual
578,Chocolate,Familiar
579,Limón,Individual
580,Limón,Para Compartir Entre 2 Personas
581,Salado Tradicional,Familiar
582,Jalapeño,Tamaño Fiesta O Reunión
583,Dulce,Para Compartir Entre 2 Personas
584,Barbacoa,Familiar
585,Queso,Tamaño Fiesta O Reunión
586,Queso,Familiar
587,Picante Chapín,Para Compartir Entre 2 Personas
588,Picante Chapín,Individual
589,Chocolate,Tamaño Fiesta O Reunión
590,Salado Tradicional,Individual
591,Picante Chapín,Individual
592,Queso,Familiar
593,Jalapeño,Para Compartir Entre 2 Personas
594,Barbacoa,Familiar
595,Jalapeño,Familiar
596,Queso,Para Compartir Entre 2 Personas
597,Picante Chapín,Para Compartir Entre 2 Personas
598,Jalapeño,Familiar
599,Salado Tradicional,Individual
600,Picante Chapín,Tamaño Fiesta O Reunión
601,Picante Chapín,Familiar
602,Jalapeño,Familiar
603,Barbacoa,Familiar
604,Queso,Familiar
605,Barbacoa,Individual
606,Jalapeño,Tamaño Fiesta O Reunión
607,Queso,Para Compartir Entre 2 Personas
608,Caramelo,Familiar
609,Barbacoa,Tamaño Fiesta O Reunión
1416,Dulce,Tamaño Fiesta O Reunión
611,Chocolate,Familiar
612,Limón,Tamaño Fiesta O Reunión
613,Chocolate,Individual
614,Jalapeño,Familiar
615,Salado Tradicional,Familiar
1472,Picante Chapín,Individual
617,Limón,Para Compartir Entre 2 Personas
618,Limón,Tamaño Fiesta O Reunión
619,Dulce,Familiar
620,Chocolate,Familiar
621,Picante Chapín,Para Compartir Entre 2 Personas
622,Dulce,Familiar
623,Queso,Familiar
624,Queso,Tamaño Fiesta O Reunión
625,Salado Tradicional,Familiar
626,Jalapeño,Tamaño Fiesta O Reunión
627,Picante Chapín,Individual
628,Picante Chapín,Tamaño Fiesta O Reunión
629,Queso,Para Compartir Entre 2 Personas
630,Jalapeño,Para Compartir Entre 2 Personas
631,Queso,Para Compartir Entre 2 Personas
632,Salado Tradicional,Familiar
633,Picante Chapín,Familiar
634,Limón,Familiar
635,Dulce,Individual
636,Caramelo,Para Compartir Entre 2 Personas
637,Chocolate,Tamaño Fiesta O Reunión
638,Picante Chapín,Familiar
639,Barbacoa,Familiar
640,Chocolate,Para Compartir Entre 2 Personas
641,Queso,Para Compartir Entre 2 Personas
642,Limón,Familiar
643,Limón,Tamaño Fiesta O Reunión
644,Barbacoa,Individual
645,Limón,Individual
646,Picante Chapín,Familiar
647,Picante Chapín,Tamaño Fiesta O Reunión
648,Barbacoa,Tamaño Fiesta O Reunión
649,Picante Chapín,Tamaño Fiesta O Reunión
650,Chocolate,Familiar
651,Barbacoa,Tamaño Fiesta O Reunión
652,Picante Chapín,Familiar
653,Limón,Individual
654,Barbacoa,Para Compartir Entre 2 Personas
655,Jalapeño,Familiar
656,Chocolate,Individual
657,Picante Chapín,Para Compartir Entre 2 Personas
658,Barbacoa,Para Compartir Entre 2 Personas
659,Barbacoa,Tamaño Fiesta O Reunión
660,Queso,Individual
661,Limón,Familiar
662,Jalapeño,Familiar
663,Picante Chapín,Para Compartir Entre 2 Personas
664,No Indicado,Familiar
665,Barbacoa,Individual
666,Chocolate,Individual
667,Jalapeño,Familiar
668,Barbacoa,Para Compartir Entre 2 Personas
669,Barbacoa,Familiar
670,Caramelo,Individual
671,Queso,Para Compartir Entre 2 Personas
672,Dulce,Familiar
673,Barbacoa,Tamaño Fiesta O Reunión
674,Picante Chapín,Individual
675,Limón,Para Compartir Entre 2 Personas
676,Barbacoa,Familiar
677,Barbacoa,Tamaño Fiesta O Reunión
678,Queso,Tamaño Fiesta O Reunión
679,Queso,Para Compartir Entre 2 Personas
680,Barbacoa,Individual
681,Picante Chapín,Familiar
682,Picante Chapín,Individual
683,Limón,Para Compartir Entre 2 Personas
684,Barbacoa,Para Compartir Entre 2 Personas
685,Barbacoa,Familiar
686,Queso,Individual
687,Jalapeño,Para Compartir Entre 2 Personas
688,Salado Tradicional,Para Compartir Entre 2 Personas
689,Queso,Para Compartir Entre 2 Personas
1961,Queso,Para Compartir Entre 2 Personas
691,Queso,Tamaño Fiesta O Reunión
692,Dulce,Individual
693,Chocolate,Familiar
694,Chocolate,Individual
695,Limón,Familiar
696,Chocolate,Para Compartir Entre 2 Personas
697,Barbacoa,Individual
698,Jalapeño,Para Compartir Entre 2 Personas
699,Picante Chapín,Familiar
700,Barbacoa,Familiar
701,Limón,Familiar
702,Queso,Individual
703,Queso,Familiar
704,Picante Chapín,Tamaño Fiesta O Reunión
705,Picante Chapín,Individual
706,Jalapeño,Tamaño Fiesta O Reunión
707,Queso,Tamaño Fiesta O Reunión
708,Caramelo,Familiar
709,Jalapeño,Familiar
710,Caramelo,Familiar
711,Jalapeño,Familiar
712,Barbacoa,Para Compartir Entre 2 Personas
713,Picante Chapín,Tamaño Fiesta O Reunión
714,Queso,Individual
715,Dulce,Familiar
716,Queso,Familiar
717,Jalapeño,Para Compartir Entre 2 Personas
718,Picante Chapín,Para Compartir Entre 2 Personas
719,Jalapeño,Familiar
720,Barbacoa,Para Compartir Entre 2 Personas
721,Barbacoa,Familiar
722,Caramelo,Para Compartir Entre 2 Personas
723,Picante Chapín,Para Compartir Entre 2 Personas
724,Chocolate,Tamaño Fiesta O Reunión
725,Jalapeño,Familiar
726,Limón,Individual
727,Barbacoa,Individual
728,Queso,Para Compartir Entre 2 Personas
729,Jalapeño,Tamaño Fiesta O Reunión
730,Dulce,Para Compartir Entre 2 Personas
731,Barbacoa,Familiar
732,Queso,Familiar
733,Dulce,Familiar
734,Queso,Familiar
735,Limón,Para Compartir Entre 2 Personas
736,Picante Chapín,Familiar
737,Limón,Para Compartir Entre 2 Personas
738,Dulce,Familiar
739,Salado Tradicional,Individual
740,Salado Tradicional,Tamaño Fiesta O Reunión
741,Picante Chapín,Familiar
742,Dulce,Familiar
743,Queso,Individual
744,Queso,Tamaño Fiesta O Reunión
745,Limón,Tamaño Fiesta O Reunión
746,Jalapeño,Familiar
747,Picante Chapín,Individual
748,Chocolate,Individual
749,Jalapeño,Individual
750,Barbacoa,Tamaño Fiesta O Reunión
751,Salado Tradicional,Para Compartir Entre 2 Personas
752,Salado Tradicional,Familiar
753,Barbacoa,Individual
754,Chocolate,Familiar
755,Salado Tradicional,Tamaño Fiesta O Reunión
756,Picante Chapín,Familiar
757,Chocolate,Para Compartir Entre 2 Personas
758,Chocolate,Tamaño Fiesta O Reunión
759,Jalapeño,Para Compartir Entre 2 Personas
760,Queso,Individual
761,Salado Tradicional,Para Compartir Entre 2 Personas
762,Caramelo,Para Compartir Entre 2 Personas
763,Jalapeño,Familiar
764,Barbacoa,Familiar
765,Queso,Familiar
766,Picante Chapín,Tamaño Fiesta O Reunión
767,Queso,Para Compartir Entre 2 Personas
768,Queso,Familiar
769,Jalapeño,Para Compartir Entre 2 Personas
770,Barbacoa,Para Compartir Entre 2 Personas
771,Limón,Familiar
772,Queso,Familiar
773,Dulce,Familiar
774,Limón,Individual
775,Limón,Para Compartir Entre 2 Personas
776,Barbacoa,Familiar
777,Jalapeño,Familiar
778,Limón,Tamaño Fiesta O Reunión
779,Dulce,Tamaño Fiesta O Reunión
780,Picante Chapín,Tamaño Fiesta O Reunión
781,Jalapeño,Familiar
782,Jalapeño,Individual
783,Picante Chapín,Individual
784,Queso,Individual
785,Queso,Para Compartir Entre 2 Personas
786,Jalapeño,Familiar
787,Queso,Familiar
788,Barbacoa,Familiar
789,Barbacoa,Familiar
790,Queso,Individual
791,Picante Chapín,Individual
792,Caramelo,Familiar
