EncuestaID,FechaEncuesta,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,GastoPromedio
105,05 Febrero 2026,Todos Los Días,Supermercado,Familia,Q51 - Q100,75.5
106,12 Marzo 2026,3 A 5 Veces Por Semana,Gasolinera,Familia,Q101 - Q150,125.5
107,25 Marzo 2026,Todos Los Días,Supermercado,Amigos,Q25 - Q50,37.5
108,13 Marzo 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Q25 - Q50,37.5
109,15 Enero 2026,Varias Veces Al Mes,Supermercado,Amigos,Q101 - Q150,125.5
110,13 Febrero 2026,Todos Los Días,Supermercado,Familia,Q51 - Q100,75.5
111,24 Enero 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Amigos,Q101 - Q150,125.5
112,19 Marzo 2026,Todos Los Días,Kiosco Escolar/Universitario,Amigos,Q101 - Q150,125.5
113,21 Marzo 2026,Todos Los Días,Kiosco Escolar/Universitario,Familia,Q51 - Q100,75.5
114,14 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q51 - Q100,75.5
115,14 Abril 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Solo,Q25 - Q50,37.5
116,26 Abril 2026,Varias Veces Al Mes,Supermercado,Solo,Q25 - Q50,37.5
117,17 Abril 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q51 - Q100,75.5
118,09 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
119,31 Enero 2026,Todos Los Días,Otro,Familia,Q101 - Q150,125.5
120,25 Abril 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q51 - Q100,75.5
121,01 Abril 2026,Todos Los Días,Kiosco Escolar/Universitario,Familia,Q25 - Q50,37.5
122,13 Enero 2026,Todos Los Días,Aplicación De Delivery,Familia,Q25 - Q50,37.5
123,03 Abril 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Familia,Q25 - Q50,37.5
124,18 Febrero 2026,Varias Veces Al Mes,Supermercado,Compañeros De Trabajo,Q51 - Q100,75.5
125,20 Marzo 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Familia,Q25 - Q50,37.5
126,18 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q51 - Q100,75.5
127,23 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q51 - Q100,75.5
128,31 Enero 2026,Varias Veces Al Mes,Otro,Familia,Q25 - Q50,37.5
129,10 Marzo 2026,Varias Veces Al Mes,Supermercado,Familia,Q25 - Q50,37.5
130,28 Enero 2026,1 A 2 Veces Por Semana,Otro,Amigos,Más De Q150,175.0
131,22 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
132,06 Marzo 2026,Varias Veces Al Mes,Supermercado,Amigos,Menos De Q25,12.5
133,19 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Compañeros De Trabajo,Q25 - Q50,37.5
134,27 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q101 - Q150,125.5
135,09 Mayo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Familia,Q101 - Q150,125.5
136,04 Abril 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Otro,Q25 - Q50,37.5
137,09 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
138,28 Marzo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q51 - Q100,75.5
139,02 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
140,15 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Otro,Q25 - Q50,37.5
141,10 Marzo 2026,Todos Los Días,Supermercado,Familia,Menos De Q25,12.5
142,07 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
143,28 Enero 2026,Rara Vez,Tienda De Barrio,Amigos,Q51 - Q100,75.5
144,17 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
145,12 Abril 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
146,27 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q101 - Q150,125.5
147,26 Abril 2026,Todos Los Días,Tienda De Barrio,Amigos,Q25 - Q50,37.5
148,08 Marzo 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q51 - Q100,75.5
149,01 Abril 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Q101 - Q150,125.5
150,19 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Solo,Q51 - Q100,75.5
151,15 Enero 2026,Varias Veces Al Mes,Aplicación De Delivery,Solo,Q51 - Q100,75.5
152,30 Enero 2026,Rara Vez,No Indicado,Amigos,Más De Q150,175.0
153,28 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
154,02 Abril 2026,Todos Los Días,Kiosco Escolar/Universitario,Compañeros De Trabajo,Q51 - Q100,75.5
155,23 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
156,22 Febrero 2026,Varias Veces Al Mes,Supermercado,Amigos,Q25 - Q50,37.5
157,01 Mayo 2026,1 A 2 Veces Por Semana,Gasolinera,Solo,Q51 - Q100,75.5
158,25 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
159,28 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Otro,Q51 - Q100,75.5
160,23 Febrero 2026,Rara Vez,Gasolinera,Familia,Q25 - Q50,37.5
161,26 Enero 2026,Varias Veces Al Mes,Supermercado,Familia,Q101 - Q150,125.5
162,19 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q51 - Q100,75.5
163,21 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
164,16 Enero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Más De Q150,175.0
165,28 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
166,06 Abril 2026,Todos Los Días,Gasolinera,Familia,Menos De Q25,12.5
167,24 Febrero 2026,1 A 2 Veces Por Semana,Otro,Compañeros De Trabajo,Q25 - Q50,37.5
168,27 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q101 - Q150,125.5
169,16 Abril 2026,Varias Veces Al Mes,Supermercado,Solo,Menos De Q25,12.5
170,08 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
171,18 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
172,05 Abril 2026,1 A 2 Veces Por Semana,Gasolinera,Amigos,Q101 - Q150,125.5
173,04 Abril 2026,Varias Veces Al Mes,Gasolinera,Familia,Más De Q150,175.0
174,31 Marzo 2026,Todos Los Días,Supermercado,Familia,Menos De Q25,12.5
175,07 Febrero 2026,Rara Vez,No Indicado,Compañeros De Trabajo,Q51 - Q100,75.5
176,18 Enero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q51 - Q100,75.5
177,12 Febrero 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q51 - Q100,75.5
178,26 Febrero 2026,Varias Veces Al Mes,Supermercado,Amigos,Q25 - Q50,37.5
179,02 Marzo 2026,Varias Veces Al Mes,Kiosco Escolar/Universitario,Amigos,Q101 - Q150,125.5
180,02 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Menos De Q25,12.5
181,10 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Otro,Q101 - Q150,125.5
182,29 Enero 2026,3 A 5 Veces Por Semana,Otro,Amigos,Q51 - Q100,75.5
183,08 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
184,04 Marzo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Amigos,Q101 - Q150,125.5
185,08 Mayo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
186,07 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
187,26 Febrero 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Menos De Q25,12.5
188,08 Mayo 2026,Varias Veces Al Mes,Tienda De Barrio,Otro,Más De Q150,175.0
189,24 Marzo 2026,Rara Vez,Supermercado,Amigos,Q25 - Q50,37.5
190,08 Abril 2026,Rara Vez,Tienda De Barrio,Amigos,Q25 - Q50,37.5
191,03 Febrero 2026,Todos Los Días,Tienda De Barrio,Familia,Q25 - Q50,37.5
192,21 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q25 - Q50,37.5
193,21 Marzo 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Familia,Q51 - Q100,75.5
194,06 Mayo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
195,02 Marzo 2026,Todos Los Días,Tienda De Barrio,Familia,Menos De Q25,12.5
196,31 Enero 2026,Todos Los Días,Tienda De Barrio,Familia,Q25 - Q50,37.5
197,16 Marzo 2026,Todos Los Días,Tienda De Barrio,Amigos,Q25 - Q50,37.5
198,22 Enero 2026,Todos Los Días,Supermercado,Familia,Más De Q150,175.0
199,23 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
200,13 Enero 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Familia,Q25 - Q50,37.5
201,28 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q51 - Q100,75.5
202,16 Febrero 2026,Todos Los Días,Tienda De Barrio,Familia,Más De Q150,175.0
203,18 Febrero 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,75.5
204,23 Abril 2026,1 A 2 Veces Por Semana,Supermercado,Compañeros De Trabajo,Q25 - Q50,37.5
205,05 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
206,24 Marzo 2026,Todos Los Días,Tienda De Barrio,Familia,Q51 - Q100,75.5
207,23 Enero 2026,Todos Los Días,Supermercado,Familia,Q51 - Q100,75.5
208,20 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q101 - Q150,125.5
209,09 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
210,04 Marzo 2026,1 A 2 Veces Por Semana,Kiosco Escolar/Universitario,Amigos,Menos De Q25,12.5
211,07 Mayo 2026,Varias Veces Al Mes,Gasolinera,Solo,Más De Q150,175.0
212,29 Enero 2026,3 A 5 Veces Por Semana,Otro,Familia,Q25 - Q50,37.5
213,07 Marzo 2026,3 A 5 Veces Por Semana,Otro,Familia,Más De Q150,175.0
214,22 Enero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
215,01 Abril 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
216,03 Abril 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Familia,Q25 - Q50,37.5
217,08 Mayo 2026,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
218,26 Abril 2026,Rara Vez,Gasolinera,Familia,Q25 - Q50,37.5
219,04 Abril 2026,Todos Los Días,Supermercado,Amigos,Q101 - Q150,125.5
220,15 Febrero 2026,Varias Veces Al Mes,Supermercado,Amigos,Q25 - Q50,37.5
221,19 Enero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
222,12 Abril 2026,1 A 2 Veces Por Semana,Aplicación De Delivery,Familia,Q25 - Q50,37.5
223,15 Febrero 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q101 - Q150,125.5
224,16 Febrero 2026,Todos Los Días,Gasolinera,Solo,Q25 - Q50,37.5
225,13 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Menos De Q25,12.5
226,22 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Q51 - Q100,75.5
227,13 Enero 2026,Varias Veces Al Mes,Supermercado,Compañeros De Trabajo,Q51 - Q100,75.5
228,06 Abril 2026,Todos Los Días,Tienda De Barrio,Amigos,Menos De Q25,12.5
229,03 Febrero 2026,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,37.5
230,18 Enero 2026,Todos Los Días,Supermercado,Familia,Q101 - Q150,125.5
231,25 Abril 2026,Todos Los Días,Kiosco Escolar/Universitario,Solo,Q25 - Q50,37.5
232,26 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
233,11 Febrero 2026,Varias Veces Al Mes,Supermercado,Familia,Q25 - Q50,37.5
234,24 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Familia,Q25 - Q50,37.5
235,19 Enero 2026,Varias Veces Al Mes,Tienda De Barrio,Amigos,Más De Q150,175.0
236,29 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Familia,Q51 - Q100,75.5
237,06 Marzo 2026,Varias Veces Al Mes,Aplicación De Delivery,Compañeros De Trabajo,Q25 - Q50,37.5
238,01 Febrero 2026,Varias Veces Al Mes,Aplicación De Delivery,Compañeros De Trabajo,Más De Q150,175.0
239,11 Abril 2026,Todos Los Días,Supermercado,Amigos,Q51 - Q100,75.5
240,19 Abril 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q25 - Q50,37.5
241,25 Enero 2026,3 A 5 Veces Por Semana,Gasolinera,Otro,Q51 - Q100,75.5
242,03 Febrero 2026,Todos Los Días,Supermercado,Amigos,Menos De Q25,12.5
243,12 Abril 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Q25 - Q50,37.5
244,11 Febrero 2026,3 A 5 Veces Por Semana,Aplicación De Delivery,Familia,Menos De Q25,12.5
245,05 Mayo 2026,Todos Los Días,Tienda De Barrio,Compañeros De Trabajo,Q51 - Q100,75.5
246,02 Mayo 2026,Varias Veces Al Mes,Otro,Familia,Q51 - Q100,75.5
247,06 Mayo 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Q51 - Q100,75.5
248,27 Abril 2026,Todos Los Días,Supermercado,Familia,Q51 - Q100,75.5
249,14 Febrero 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Menos De Q25,12.5
250,30 Abril 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Más De Q150,175.0
251,26 Enero 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,75.5
252,15 Febrero 2026,3 A 5 Veces Por Semana,Tienda De Barrio,Amigos,Menos De Q25,12.5
253,20 Marzo 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
254,07 Febrero 2026,1 A 2 Veces Por Semana,Tienda De Barrio,Compañeros De Trabajo,Q101 - Q150,125.5
255,06 Abril 2026,1 A 2 Veces Por Semana,Otro,Otro,Q25 - Q50,37.5
256,22 Febrero 2026,1 A 2 Veces Por Semana,Gasolinera,Amigos,Menos De Q25,12.5
257,10 Mayo 2026,Todos Los Días,Tienda De Barrio,Familia,Menos De Q25,12.5
258,10 Mayo 2026,3 A 5 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,37.5
259,10 Febrero 2026,Rara Vez,Supermercado,Amigos,Q51 - Q100,75.5
260,22 Marzo 2026,Todos Los Días,Supermercado,Amigos,Q25 - Q50,37.5
261,06 Mayo 2026,1 A 2 Veces Por Semana,Gasolinera,Familia,Menos De Q25,12.5
262,20 Enero 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Menos De Q25,12.5
263,05 Abril 2026,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,12.5
264,15 Febrero 2026,Todos Los Días,Kiosco Escolar/Universitario,Amigos,Q101 - Q150,125.5
265,15 Marzo 2026,Rara Vez,Tienda De Barrio,Amigos,Q51 - Q100,75.5
266,06 Marzo 2026,Todos Los Días,Supermercado,Familia,Menos De Q25,12.5
267,10 Enero 2026,Varias Veces Al Mes,Gasolinera,Amigos,Q25 - Q50,37.5
268,26 Enero 2026,3 A 5 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,75.5
269,11 Enero 2026,3 A 5 Veces Por Semana,Kiosco Escolar/Universitario,Familia,Q51 - Q100,75.5
270,16 Marzo 2026,1 A 2 Veces Por Semana,Supermercado,Solo,Q25 - Q50,37.5
271,26 Febrero 2026,Varias Veces Al Mes,Tienda De Barrio,Otro,Q25 - Q50,37.5
272,28 Marzo 2026,Varias Veces Al Mes,Tienda De Barrio,Compañeros De Trabajo,Menos De Q25,12.5
273,21 Marzo 2026,Varias Veces Al Mes,Aplicación De Delivery,Otro,Q51 - Q100,75.5
274,20 Abril 2026,Todos Los Días,Gasolinera,Amigos,Más De Q150,175.0
275,19 Enero 2026,Rara Vez,Tienda De Barrio,Familia,Q25 - Q50,37.5
276,15 Abril 2026,Varias Veces Al Mes,Tienda De Barrio,Familia,Q51 - Q100,75.5
